Name,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,objID,ra,dec,run,rerun,camcol,field,type,dered_g,dered_r,dered_i,deVAB_i,expAB_i,lnLExp_i,lnLDeV_i,lnLStar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
A67,587730775499407589,00:00:19.84,+15:53:42.4,66,0.7120000000000001,0.0,0.03,0.091,0.16699999999999998,0.0,0.121,0.442,0.299,0,0,1,587730775499408161,0.00400088,15.89331393,2566,40,6,309,GALAXY,23.718560999999998,22.327545,22.025074,0.42094799999999993,0.5824630000000001,-0.0026913640000000003,-0.0036313229999999997,-0.0035595509999999998,0.9622930000000001,0.680191,6.621567999999999,1.9716200000000002,-0.040467
A68,587727221413576892,00:00:19.89,+14:22:19.6,36,0.41700000000000004,0.027999999999999997,0.16699999999999998,0.361,0.027999999999999997,0.0,0.556,0.11,0.851,1,0,0,587727221413511857,0.00130201,14.37341174,1739,40,2,302,GALAXY,22.585455,22.514864000000003,22.617579,0.05,0.05,-1.494017,-1.57774,-1.891934,0.98355,0.739166,-20.708107000000002,3.102421,-0.010058
A69,587730772815052911,00:00:20.06,+13:50:01.6,57,0.386,0.24600000000000002,0.018000000000000002,0.316,0.035,0.0,0.579,0.114,0.84,1,0,0,587730772814987823,0.00947922,13.83157329,2566,40,1,308,GALAXY,22.310659,21.392874,21.101433,0.188001,0.30241399999999996,-2.161308,-2.163984,-1.6226120000000002,2.175821,0.9127430000000001,2.8680779999999997,1.956866,0.0015482579999999998
A71,587727178986356855,00:00:20.55,-10:20:48.8,44,0.636,0.068,0.023,0.205,0.068,0.0,0.295,0.34299999999999997,0.561,0,0,1,587727178986357470,0.00657637,-10.3454548,1729,40,3,83,GALAXY,22.2453,22.700441,25.53376,0.147723,0.285461,-0.080956,-0.080958,-0.032352,-9999.0,-9999.0,-9999.0,-9999.0,0.016592
A74,587727223561060510,00:00:22.85,+16:08:52.4,25,0.8,0.0,0.04,0.16,0.0,0.0,0.2,0.696,0.304,0,0,1,587727223561061279,0.00329072,16.14732611,1739,40,6,303,GALAXY,24.01236,22.500549,21.241322,0.400003,0.780246,-0.005225803,-0.005422726,-0.010923,1.260177,0.7153689999999999,5.354004,2.2652959999999998,-0.038937
A75,587727225690194040,00:00:24.34,-10:24:12.1,25,0.84,0.04,0.0,0.0,0.12,0.0,0.04,0.7559999999999999,0.105,0,0,1,587727225690129099,359.99886779,-10.40317826,1740,40,2,22,GALAXY,23.541204,21.935925,21.279032,0.05,0.05,-0.065384,-0.109556,-0.531928,2.074507,0.8285969999999999,5.7732470000000005,1.9499939999999998,-0.048978
A76,587727178449485973,00:00:24.94,-10:48:01.8,32,0.312,0.0,0.0,0.594,0.094,0.0,0.594,0.168,0.728,0,0,1,587727178449486409,0.005917800000000001,-10.79836637,1729,40,2,83,GALAXY,22.315462,21.705153,21.334488,0.05,0.05,-0.225489,-0.24761100000000003,-1.136747,3.6493910000000005,1.671757,13.191806,1.905516,-0.06341799999999999
A78,588015509806252189,00:00:26.31,+00:35:50.8,26,0.654,0.0,0.0,0.231,0.115,0.0,0.231,0.39399999999999996,0.447,0,0,1,588015509806252913,0.00451802,0.59538001,3325,41,5,108,GALAXY,25.556854,21.48007,21.83955,0.05,0.05,-0.20293699999999998,-0.21276799999999998,-0.141766,0.035958,0.020271,-30.184334000000003,0.146447,0.09425700000000001
A79,587730775499407616,00:00:26.65,+15:54:45.2,23,0.7390000000000001,0.043,0.0,0.174,0.043,0.0,0.217,0.35200000000000004,0.5670000000000001,1,0,0,587730775499408165,0.00606926,15.91574065,2566,40,6,309,GALAXY,22.996984,22.37915,22.094975,0.05,0.05,-0.017598,-0.019169,-0.037195,1.53881,0.890666,40.396046000000005,0.520853,-0.036219
A81,587727221950447759,00:00:27.65,+14:56:24.7,54,0.35200000000000004,0.037000000000000005,0.019,0.185,0.07400000000000001,0.33299999999999996,0.24100000000000002,0.162,0.34,0,0,1,587727221950382922,0.00718598,14.93767098,1739,40,3,302,GALAXY,23.012125,23.373758,23.386122,0.05,0.05,-0.0061189190000000004,-0.00798356,-0.00479735,0.68465,0.587252,25.068563,-0.204655,0.010803
A82,587731185667080368,00:00:27.98,-00:26:53.5,60,0.8170000000000001,0.0,0.017,0.067,0.1,0.0,0.083,0.8140000000000001,0.086,0,0,1,587731185667015597,0.00979738,-0.45125342,2662,40,2,282,GALAXY,23.689859,21.606582999999997,21.643394,0.42535100000000003,0.05,-0.068415,-0.070756,-0.057347,0.569534,0.524551,1.784864,1.503773,0.089559
A83,587727221413576917,00:00:28.07,+14:22:52.4,30,0.5,0.033,0.067,0.4,0.0,0.0,0.5,0.111,0.889,1,0,0,587727221413511872,0.01151015,14.38024374,1739,40,2,302,GALAXY,22.431642999999998,22.448872,22.573416,0.05,0.085115,-0.859195,-0.9373879999999999,-0.87456,1.4576129999999998,0.778027,3.9235290000000003,2.975584,-0.08702599999999999
A85,587727223024189705,00:00:29.09,+15:42:53.2,25,0.28,0.16,0.0,0.56,0.0,0.0,0.72,0.182,0.818,1,0,0,587727223024190506,0.00561991,15.71593946,1739,40,5,303,GALAXY,23.327856,22.402781,21.556010999999998,0.05,0.05,-0.009782753,-0.022159,-0.068766,1.243568,0.691272,4.785786,2.083742,-0.0046163490000000005
A86,587730773888794840,00:00:29.30,+14:37:31.4,30,0.833,0.0,0.067,0.067,0.033,0.0,0.133,0.7609999999999999,0.204,0,1,0,587730773888730196,0.00386343,14.62012569,2566,40,3,308,GALAXY,21.852802,20.592451,20.131794,0.16563,0.330716,-0.663651,-0.801637,-1.8425759999999998,1.031312,0.659195,5.712185,1.9179680000000001,-0.043107
A87,587727178449551429,00:00:30.00,-10:38:25.1,20,0.0,0.0,0.55,0.05,0.05,0.35,0.6,0.0,0.6,0,0,1,587727178449486411,0.01184906,-10.641523699999999,1729,40,2,83,GALAXY,22.251284,21.353012,20.665022,0.469463,0.433957,-0.182015,-0.14844000000000002,-1.6812790000000002,6.840606,1.9688009999999998,10.323133,2.0762,-0.044949
A90,587727223024189538,00:00:30.95,+15:35:09.4,54,0.833,0.037000000000000005,0.019,0.09300000000000001,0.019,0.0,0.14800000000000002,0.63,0.345,0,0,1,587727223024190505,0.00803654,15.5853027,1739,40,5,303,GALAXY,24.067736,23.146875,21.614292000000003,0.05,0.05,-0.144878,-0.18342,-0.205654,0.864417,0.455215,6.340812000000001,1.664222,-0.056834
A91,587727180060164172,00:00:31.37,-09:27:56.1,31,0.8059999999999999,0.065,0.0,0.129,0.0,0.0,0.19399999999999998,0.589,0.41100000000000003,0,0,1,587727180060099172,0.00836411,-9.46232114,1729,40,5,83,GALAXY,22.58909,21.79064,21.929211,0.05,0.05,-0.065286,-0.076968,-0.096943,0.594532,0.496332,-39.642967,4.270621,-0.053654999999999994
A92,587727223561060532,00:00:31.87,+16:06:44.7,46,0.065,0.022000000000000002,0.087,0.804,0.022000000000000002,0.0,0.9129999999999999,0.011000000000000001,0.966,1,0,0,587727223561060674,0.00707624,16.11682811,1739,40,6,303,GALAXY,21.952856,20.403008,19.777157,0.6744220000000001,0.7867890000000001,-2.098398,-1.995421,-13.369076999999999,1.838801,0.8762479999999999,5.928624,2.183562,-0.052938
A95,587727222487318755,00:00:33.77,+15:11:02.0,50,0.42,0.02,0.1,0.28,0.16,0.02,0.4,0.16899999999999998,0.598,0,0,1,587727222487254093,0.00941029,15.17993004,1739,40,4,302,GALAXY,23.750389000000002,22.315426000000002,21.795681,0.05,0.19092699999999999,-0.20759899999999998,-0.2165,-0.350854,1.117486,0.594641,4.841948,2.119473,-0.07202599999999999
A97,587727178449551441,00:00:34.64,-10:39:29.7,33,0.7879999999999999,0.0,0.061,0.061,0.091,0.0,0.121,0.638,0.253,0,0,1,587727178449486155,0.00751792,-10.66169996,1729,40,2,83,GALAXY,20.673559,20.345523999999997,19.974697,0.721395,0.6890569999999999,-0.18224,-0.49894399999999994,-18.543293,2.8759419999999998,1.246238,9.207208999999999,2.0963580000000004,-0.031523
A99,587727222487318769,00:00:35.38,+15:13:54.4,59,0.085,0.0,0.6779999999999999,0.237,0.0,0.0,0.915,0.031,0.9690000000000001,1,0,0,587727222487253837,0.01054433,15.22862587,1739,40,4,302,GALAXY,24.826157000000002,22.461348,21.587162,0.05,0.165528,-0.013578,-0.012164,-0.008923654,0.564293,0.38822,3.2942970000000003,2.325848,0.014230000000000001
A100,587727223024189732,00:00:36.55,+15:45:57.7,29,0.828,0.0,0.0,0.034,0.10300000000000001,0.034,0.034,0.782,0.07200000000000001,0,0,1,587727223024190298,0.00919504,15.76959849,1739,40,5,303,GALAXY,22.964367000000003,21.700697,21.538227,0.05,0.15023399999999998,-0.24062600000000003,-0.21659099999999998,-0.169837,1.007752,0.5943649999999999,3.4361669999999997,2.092818,0.004809189
A101,587727221413576798,00:00:36.82,+14:27:42.6,38,0.895,0.0,0.0,0.079,0.026000000000000002,0.0,0.079,0.8590000000000001,0.114,0,1,0,587727221413511870,0.00778572,14.46107634,1739,40,2,302,GALAXY,22.319588,21.593285,21.334925,0.592222,0.640746,-0.69914,-0.8022630000000001,-3.194769,2.7623849999999996,1.125998,7.924192999999999,1.932468,0.047483
